Country,Year,Complaints,Losses,Continent,Nation_Wealth,West_or_East,Pandemic_Era,Is_Leap_Year
Israel,2020,9794,89001013,Asia,High Income,Western,Post-Pandemic,True
Israel,2021,13563,110534215,Asia,High Income,Western,Post-Pandemic,False
Israel,2022,13754,225640682,Asia,High Income,Western,Post-Pandemic,False
Israel,2023,14982,281333883,Asia,High Income,Western,Post-Pandemic,False
Israel,2024,16114,310489542,Asia,High Income,Western,Post-Pandemic,True
Italy,2019,42362,291496322,Europe,High Income,Western,Pre-Pandemic,False
Italy,2020,77806,360913944,Europe,High Income,Western,Post-Pandemic,True
Italy,2021,99708,667686968,Europe,High Income,Western,Post-Pandemic,False
Italy,2022,74277,967404316,Europe,High Income,Western,Post-Pandemic,False
Italy,2023,84197,1192949271,Europe,High Income,Western,Post-Pandemic,False
Italy,2024,91776,1328578738,Europe,High Income,Western,Post-Pandemic,True
Japan,2019,86934,799709881,Asia,High Income,Eastern,Pre-Pandemic,False
Japan,2020,159519,885281428,Asia,High Income,Eastern,Post-Pandemic,True
Japan,2021,161803,1088839354,Asia,High Income,Eastern,Post-Pandemic,False
Japan,2022,157306,2253466948,Asia,High Income,Eastern,Post-Pandemic,False
Japan,2023,170208,1995347480,Asia,High Income,Eastern,Post-Pandemic,False
Japan,2024,182470,3393546251,Asia,High Income,Eastern,Post-Pandemic,True
Jordan,2019,431,3218885,Asia,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Jordan,2020,796,3206926,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
